"ITI"	"VisualStimulus"	"AuditoryStimulus"	"BlockNo"	"subject"	"pbn"	"age"	"sex"	"handedness"	"opticalaids"	"FirstRT"	"FirstKey"	"FinalRT"	"condition"	"error"
"106"	794	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	228.460035	1	236.474748	"AV"	FALSE
"107"	606	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	237.314069	2	245.322858	"AV"	FALSE
"108"	1240	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	237.824881	2	246.292522	"AV"	FALSE
"109"	1091	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	516.34485	2	1292.905311	"A"	FALSE
"110"	709	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	318.551826	2	326.622511	"V"	FALSE
"111"	513	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	313.266834	2	337.76399	"A"	FALSE
"112"	1053	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	203.460833	2	227.744412	"A"	FALSE
"113"	1081	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	302.728822	2	310.695029	"A"	FALSE
"114"	1004	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	342.948469	2	406.737489	"AV"	FALSE
"115"	827	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	183.142161	2	215.546	"AV"	FALSE
"116"	899	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	265.50064	1	281.444146	"V"	FALSE
"117"	1299	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	532.429196	2	534.808224	"A"	FALSE
"118"	1254	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	275.670915	3	275.670915	"AV"	FALSE
"119"	806	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	361.257113	2	385.538149	"V"	FALSE
"120"	1121	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	398.390461	3	398.390461	"A"	FALSE
"121"	801	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	248.654855	2	264.886058	"A"	FALSE
"122"	909	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	260.150333	2	268.169315	"AV"	FALSE
"123"	1046	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	216.404759	2	232.27913	"AV"	FALSE
"124"	530	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	279.384427	2	287.185524	"V"	FALSE
"125"	1278	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	247.680192	2	256.194659	"V"	FALSE
